店铺名称,省份,城市,地区,地址,经度,纬度,所属品类,是否为品牌店,配送,电话,营业时间,近期销量,活动,起送价,配送费,是否为新店,商家评分,总体评分,味道评分,包装评分,配送评分,配送时间,商品评分,服务态度,评价总数,好评数,差评数,有图
晓田烧烤（狮峰山店）,安徽省,铜陵市,枞阳县,安徽省安庆市枞阳县枞阳镇狮峰山小区,117.22186857445,30.703320012783,烧烤|炸鸡炸串|,否,蜂鸟专送,13909666259,"[""11:00/24:00""]",426,"1 ： 新用户下单立减10元;",15,配送费4,否,4.55871886121,4.55871886121,3.9715302491103,3.9644128113879,4.3060498220641,27,3.9644128113879,3.9715302491103,302,272,12,58
老陆商店(金山大道店),安徽省,铜陵市,枞阳县,安徽省铜陵市枞阳县枞阳镇金山大道西68号巷4室,117.230085,30.697414,大型超市|便利店|,否,蜂鸟专送,15905623360,"[""07:00/22:30""]",,"1 ： 满30减2，满40减4;",15,配送费4,是,0,0,0,0,0,0,0,0,0,0,0,0
根莱茶餐厅,安徽省,铜陵市,枞阳县,枞阳县枞阳镇商业步行街,117.219799,30.70411,西餐|披萨意面|,否,蜂鸟专送,0562-3256093,"[""10:50/23:30""]",324,"1 ： 新用户下单立减10元;2 ： 满30减2，满60减3;",15,配送费4,否,4.6585365853659,4.6585365853659,4.2520325203252,4.3455284552846,4.4390243902439,30,4.3455284552846,4.2520325203252,271,250,10,44
龙頭蔬果大型批发零售(狮峰山店),安徽省,铜陵市,枞阳县,安徽省铜陵市枞阳县枞阳镇体育场路12号,117.219715,30.701481,水果|,否,蜂鸟专送,13710232648,"[""07:00/23:00""]",8,"1 ： 新用户下单立减10元;2 ： 满33减3;",10,配送费3,否,4.5,4.5,4.5,4.5,5,22,4.5,4.5,2,2,0,1
小何百货(幸福家园店),安徽省,铜陵市,枞阳县,安徽省铜陵市枞阳县枞阳镇幸福家园1号楼7号门面,117.25443,30.699017,便利店|,否,蜂鸟专送,18133025856,"[""08:00/22:00""]",,no,15,远距离配送费5,是,0,0,0,0,0,0,0,0,0,0,0,0
盈和旺土菜拉面馆(山水云间店),安徽省,铜陵市,枞阳县,安徽省铜陵市枞阳县枞阳镇山水云间C区1栋7室,117.247473,30.714931,米粉面馆|,否,蜂鸟专送,15656221318,"[""07:00/21:00""]",63,"1 ： 新用户下单立减10元;2 ： 满20减4，满40减8;",15,配送费4,否,4.6285714285714,4.6285714285714,2.5714285714286,2.6857142857143,2.4857142857143,31,2.6857142857143,2.5714285714286,41,37,2,2
馨润超市(山水云间店),安徽省,铜陵市,枞阳县,安徽省铜陵市枞阳县枞阳镇山水云间D区,117.24856,30.714661,大型超市|,否,蜂鸟专送,15178632899,"[""08:00/21:30""]",,"1 ： 新用户下单立减10元;2 ： 满30减2，满50减3，满80减5;",15,远距离配送费5,否,0,0,0,0,0,0,0,0,0,0,0,0
小厨私房菜(旗山商城店),安徽省,铜陵市,枞阳县,安徽省铜陵市枞阳县枞阳镇旗山商城13-11号门面,117.241939,30.707884,地方小吃|简餐|,否,蜂鸟专送,18855612853,"[""09:10/21:00""]",28,"1 ： 新用户下单立减10元;2 ： 满20减3;",15,配送费4,否,3.8571428571429,3.8571428571429,2.2857142857143,3,2.4285714285714,30,3,2.2857142857143,7,5,1,0
卫岗乳业（枞阳奶站）,安徽省,铜陵市,枞阳县,枞阳县枞阳镇旗山路旗山商城1区5栋,117.24298,30.707578,奶站|,否,no,18375367007,"[""06:00/18:00""]",8,"1 ： 新用户下单立减10元;",20,配送费1,否,5,5,5,5,4,0,5,5,1,1,0,0
尝口香美食城(荷风苑店),安徽省,铜陵市,枞阳县,安徽省铜陵市枞阳县枞阳镇旗山路5-64,117.242178,30.706835,盖浇饭|,否,蜂鸟专送,15212949990,"[""09:40/21:30""]",97,"1 ： 新用户下单立减10元;2 ： 满20减1;",15,配送费4,否,4.7674418604651,4.7674418604651,4.1627906976744,4.093023255814,4.2790697674419,31,4.093023255814,4.1627906976744,67,63,1,30
食为天(荷风苑店),安徽省,铜陵市,枞阳县,安徽省铜陵市枞阳县枞阳镇旗山路荷风苑小区1号商铺5-49号,117.241222,30.705999,江浙菜|,否,蜂鸟专送,18258382977,"[""10:00/21:00""]",46,"1 ： 新用户下单立减10元;2 ： 满30减4，满50减8;3 ： 美食聚惠2;",15,配送费4,否,4.7241379310345,4.7241379310345,4.7241379310345,4.7586206896552,4.7241379310345,34,4.7586206896552,4.7241379310345,41,38,0,7
食汇中式快餐(银塘星城店),安徽省,铜陵市,枞阳县,枞阳县枞阳镇旗山路,117.243008,30.705205,江浙菜|简餐|,否,蜂鸟专送,15357081017,"[""00:00/24:00""]",340,"1 ： 新用户下单立减10元;2 ： 满20减1;",15,配送费4,否,4.6066945606695,4.6066945606695,4.0125523012552,4.1255230125523,4.0502092050209,27,4.1255230125523,4.0125523012552,318,298,8,22
少东家面馆（银塘星城店）,安徽省,铜陵市,枞阳县,安徽省铜陵市枞阳县枞阳镇银塘星城,117.243818,30.703338,盖浇饭|米粉面馆|,否,蜂鸟专送,18656221822,"[""08:30/13:40"",""16:00/24:00""]",118,"1 ： 新用户下单立减10元;2 ： 满15减1;3 ： 美食聚惠2;",15,配送费4,否,4.5272727272727,4.5272727272727,4.2363636363636,4.4,4.3636363636364,33,4.4,4.2363636363636,77,70,3,25
爷爷家的粥铺(枞阳店)(枞阳),安徽省,铜陵市,枞阳县,安徽省铜陵市枞阳县枞阳镇逸龙山庄3栋6号,117.232353,30.706663,其他菜系|,否,蜂鸟专送,05622022577,"[""11:00/13:50"",""17:00/20:40""]",54,"1 ： 新用户下单立减10元;",10,配送费4,否,4.3333333333333,4.3333333333333,4.4444444444444,4.5555555555556,4.5555555555556,0,4.5555555555556,4.4444444444444,9,8,1,2
福味轩土菜馆(银塘星城店),安徽省,铜陵市,枞阳县,安徽省铜陵市枞阳县枞阳镇银塘星城B9栋105号,117.242661,30.703821,其他菜系|,否,蜂鸟专送,15056668200,"[""09:00/13:30"",""16:30/20:30""]",28,"1 ： 新用户下单立减10元;2 ： 满20减6，满40减8;3 ： 美食聚惠2;",15,配送费4,否,5,5,5,5,5,25,5,5,3,3,0,2
丽清大别山鹅火锅(华翔观天下店),安徽省,铜陵市,枞阳县,枞阳县枞阳镇连城东路华祥观天下3号楼4号,117.232647,30.705956,米粉面馆|包子粥店|,否,蜂鸟专送,13956499909,"[""09:00/13:30"",""16:30/21:00""]",23,"1 ： 新用户下单立减10元;2 ： 满20减4，满30减6，满40减8;",15,配送费4,否,3.8333333333333,3.8333333333333,3.3333333333333,3.3333333333333,4,0,3.3333333333333,3.3333333333333,6,4,1,1
小周超市(渡江路店),安徽省,铜陵市,枞阳县,枞阳县枞阳镇渡江北路,117.227433,30.710479,大型超市|便利店|,否,no,15856519950,"[""09:00/22:00""]",70,"1 ： 新用户下单立减10元;",20,免配送费,否,4.7083333333333,4.7083333333333,4.5,4.4166666666667,4.4583333333333,32,4.4166666666667,4.5,24,22,0,6
海员酒楼(银塘星城店),安徽省,铜陵市,枞阳县,枞阳县枞阳镇银塘星城C137号,117.24213409,30.70182991,其他菜系|,否,蜂鸟专送,13855699415,"[""10:00/13:30"",""16:30/21:30""]",2,"1 ： 新用户下单立减10元;2 ： 美食聚惠2;",15,配送费4,否,5,5,5,5,5,0,5,5,1,1,0,0
仕成干货(和熙丽苑店),安徽省,铜陵市,枞阳县,安徽省铜陵市枞阳县枞阳镇和熙丽苑大市场1-10号,117.239569,30.702313,粮油副食|,否,蜂鸟专送,13965079007,"[""07:00/18:00""]",,"1 ： 新用户下单立减10元;",10,配送费3,否,0,0,0,0,0,0,0,0,0,0,0,0
巴西烤肉拌饭(金山路店),安徽省,铜陵市,枞阳县,安徽省铜陵市枞阳县枞阳镇金山大道金东楼东9号,117.228228,30.708571,盖浇饭|,否,蜂鸟专送,18714976867,"[""00:00/24:00""]",200,"1 ： 新用户下单立减10元;2 ： 满20减3，满30减5，满40减6;3 ： 第二份半价;",15,配送费4,否,4.6444444444444,4.6444444444444,3.6777777777778,3.7777777777778,4.0333333333333,25,3.7777777777778,3.6777777777778,94,89,4,5
香味客莱馆(金山路店),安徽省,铜陵市,枞阳县,安徽省铜陵市枞阳县枞阳镇金山路40-8号,117.228202,30.708536,东北菜|,否,蜂鸟专送,15156270853,"[""10:00/14:00"",""16:00/21:00""]",3,"1 ： 新用户下单立减10元;",15,配送费4,否,0,0,0,0,0,0,0,0,0,0,0,0
小唐干货冻品批发(和熙丽苑店),安徽省,铜陵市,枞阳县,安徽省铜陵市枞阳县枞阳镇和熙丽苑菜市场3号门面,117.239361,30.702203,粮油副食|,否,蜂鸟专送,13966419769,"[""07:00/18:00""]",,"1 ： 新用户下单立减10元;",10,配送费3,否,0,0,0,0,0,0,0,0,0,0,0,0
艾瑞朵(渡江路店),安徽省,铜陵市,枞阳县,枞阳县枞阳镇渡江路,117.226285,30.709817,蛋糕|,否,蜂鸟专送,05622555327,"[""09:00/21:00""]",47,"1 ： 新用户下单立减10元;2 ： 满20减6，满40减10，满100减20;",15,配送费4,否,4.5833333333333,4.5833333333333,3.6666666666667,3.6666666666667,3.8333333333333,24,3.6666666666667,3.6666666666667,12,11,1,0
周周快餐(金山路店),安徽省,铜陵市,枞阳县,安徽省铜陵市枞阳县枞阳镇金山路26-7号,117.231629,30.703952,简餐|,否,蜂鸟专送,18375397175,"[""09:30/20:30""]",3,"1 ： 新用户下单立减10元;2 ： 满20减6，满40减13，满50减18;",15,配送费4,否,3,3,3,3,5,0,3,3,2,1,1,0
绿惠蔬果(王家亭店),安徽省,铜陵市,枞阳县,安徽省铜陵市枞阳县枞阳镇王家亭菜市场内,117.224549,30.710527,水果|,否,蜂鸟专送,15258333954,"[""08:00/21:00""]",,no,15,配送费4,是,0,0,0,0,0,0,0,0,0,0,0,0
百城超市(王家亭店),安徽省,铜陵市,枞阳县,枞阳县枞阳镇王家亭菜市场,117.224462,30.710574,便利店|,否,蜂鸟专送,18855612154,"[""10:00/22:00""]",,no,15,配送费4,是,0,0,0,0,0,0,0,0,0,0,0,0
小福楼(渡江路店),安徽省,铜陵市,枞阳县,安徽省铜陵市枞阳县枞阳镇渡江路169-2号,117.225324,30.709346,江浙菜|,否,蜂鸟专送,13812137069,"[""10:00/21:00""]",7,"1 ： 新用户下单立减10元;2 ： 满20减4，满30减6;",15,配送费4,否,0,0,0,0,0,26,0,0,0,0,0,0
家园印象私房菜(银塘路店),安徽省,铜陵市,枞阳县,枞阳县枞阳镇银塘路,117.23325,30.70118,江浙菜|其他菜系|,否,蜂鸟专送,18755685311,"[""09:00/13:30"",""16:30/21:00""]",1,"1 ： 新用户下单立减10元;2 ： 满10减2，满20减3;3 ： 美食聚惠;",15,配送费4,否,0,0,0,0,0,0,0,0,0,0,0,0
四季饭店(长江路店),安徽省,铜陵市,枞阳县,安徽省铜陵市枞阳县长江路94-1号,117.243857,30.695813,简餐|,否,蜂鸟专送,13966405309,"[""09:00/22:00""]",14,"1 ： 满20减8，满40减12;",15,配送费4,是,5,5,2.5,2.5,1.75,27,2.5,2.5,4,4,0,0
吃货面皮(狮峰山店),安徽省,铜陵市,枞阳县,安徽省铜陵市枞阳县枞阳镇狮峰山步行街11号,117.22298,30.703162,地方小吃|,否,蜂鸟专送,13866057358,"[""00:00/24:00""]",75,"1 ： 新用户下单立减10元;2 ： 满20减6;3 ： 单品折扣;4 ： 单品折扣;5 ： 单品折扣;6 ： 单品折扣;7 ： 单品折扣;8 ： 单品折扣;9 ： 单品折扣;10 ： 单品折扣;11 ： 单品折扣;12 ： 单品折扣;13 ： 第二份半价;",10,配送费4,否,4.5526315789474,4.5526315789474,2.8947368421053,2.8157894736842,3.1052631578947,25,2.8157894736842,2.8947368421053,41,36,1,2
皖赣人家(月牙湖小区店),安徽省,铜陵市,枞阳县,安徽省铜陵市枞阳县枞阳镇月牙湖小区2楼10-11号门面,117.216184,30.703558,川湘菜|,否,蜂鸟专送,15855659466,"[""09:00/21:30""]",56,"1 ： 新用户下单立减10元;2 ： 满20减6，满30减8，满40减12;3 ： 美食聚惠;",15,配送费4,否,4.6,4.6,4.4,4.6,4.8,29,4.6,4.4,10,9,0,0
迈茶(渡江路店),安徽省,铜陵市,枞阳县,枞阳县枞阳镇湖滨路17号,117.217784,30.700743,奶茶果汁|甜品|,否,蜂鸟专送,15056203072,"[""08:30/21:40""]",25,"1 ： 新用户下单立减10元;2 ： 美食聚惠2;",15,配送费4,否,4.6666666666667,4.6666666666667,3,3,2.3333333333333,26,3,3,3,3,0,1
田园人家(连城西路店),安徽省,铜陵市,枞阳县,枞阳县枞阳镇连城西路,117.21019,30.710564,东北菜|,否,蜂鸟专送,18005567987,"[""10:00/22:00""]",,no,15,配送费4,是,0,0,0,0,0,0,0,0,0,0,0,0
绝味鸭脖（枞阳湖滨路店）,安徽省,铜陵市,枞阳县,枞阳县枞阳镇湖滨路,117.21623,30.698248,鸭脖卤味|地方小吃|,是,蜂鸟专送,15805565397,"[""00:00/24:00""]",71,"1 ： 满49减5，满69减10，满89减15;",15,夜间配送费4,否,4.6341463414634,4.6341463414634,3.780487804878,3.7560975609756,3.780487804878,23,3.7560975609756,3.780487804878,41,38,0,2
二宝烤鱼(月牙湖小区店),安徽省,铜陵市,枞阳县,安徽省铜陵市枞阳县枞阳镇月牙湖小区2号楼2-3号门面,117.215943,30.703691,火锅烤鱼|,否,蜂鸟专送,18956278917,"[""09:30/22:00""]",3,"1 ： 新用户下单立减10元;2 ： 满20减6，满40减10，满50减15;3 ： 美食聚惠;",15,配送费4,否,1,1,1,1,5,0,1,1,1,0,1,0
淮南牛肉汤(狮峰山店),安徽省,铜陵市,枞阳县,枞阳县枞阳镇连城东路,117.221783,30.703473,盖浇饭|米粉面馆|,否,蜂鸟专送,15955626088,"[""07:00/21:00""]",198,"1 ： 新用户下单立减10元;2 ： 满20减2，满40减3;",10,配送费4,否,4.5361445783133,4.5361445783133,3.4638554216867,3.5180722891566,3.6506024096386,25,3.5180722891566,3.4638554216867,187,169,5,6
王仁和米线(财富广场店),安徽省,铜陵市,枞阳县,枞阳县枞阳镇湖滨路,117.21375,30.696184,米粉面馆|,否,蜂鸟专送,3227577,"[""08:00/21:00""]",496,"1 ： 新用户下单立减10元;",15,配送费4,否,4.6722408026756,4.6722408026756,3.8655737704918,3.8983606557377,4.0401337792642,27,3.8983606557377,3.8655737704918,325,306,9,17
大厨小菜,安徽省,铜陵市,铜官区,"铜陵市开发区涌银广场2071-1,2071-2商铺",117.83616,30.961459,川湘菜|简餐|,否,蜂鸟专送,18305625800,"[""09:40/13:45"",""16:30/19:45""]",20,"1 ： 满40减6;2 ： 单品定价;3 ： 新用户下单立减10元;4 ： 单品定价;5 ： 单品定价;6 ： 单品定价;",10,配送费4,否,0,0,0,0,0,0,0,0,0,0,0,0
味到家(商北新村店),安徽省,铜陵市,铜官区,铜官区官塘一路商北新村40-415,117.825103,30.931169,黄焖鸡米饭|盖浇饭|,否,蜂鸟专送,18656222575,"[""07:00/16:00""]",6,"1 ： 新用户下单立减10元;",10,配送费7,否,5,5,5,5,5,0,5,5,1,1,0,0
捞汁小海鲜(柏庄店),安徽省,铜陵市,铜官区,铜陵市开发区柏庄春暖花开3栋2号车库,117.837209,30.953457,海鲜|地方小吃|,否,蜂鸟专送,15956213737,"[""11:00/02:00""]",1,"1 ： 满20减5，满40减10，满60减15，满80减20;2 ： 新用户下单立减10元;",15,配送费4,否,0,0,0,0,0,0,0,0,0,0,0,0
砂锅麻辣烫(螺丝山店),安徽省,铜陵市,铜官区,铜官区商南新村-1栋一层网点3号,117.821339,30.923989,麻辣烫|香锅砂锅|,否,蜂鸟专送,18456255805,"[""00:00/02:00"",""09:00/23:55""]",7,"1 ： 满22减2，满30减4，满50减8;2 ： 满30元赠送易捷矿泉水1份;3 ： 新用户下单立减10元;",15,配送费4,否,4.3333333333333,4.3333333333333,4.3333333333333,4.3333333333333,4.6666666666667,0,4.3333333333333,4.3333333333333,3,2,0,0
锅要吃肉肉,安徽省,铜陵市,铜官区,铜官区景香苑2号楼10号网点,117.862479,30.936221,炸鸡炸串|地方小吃|,否,no,13731871930,"[""14:00/22:00""]",11,"1 ： 新用户下单立减10元;",25,配送费3,否,5,5,5,5,5,30,5,5,4,4,0,0
御丫（铜陵县店）,安徽省,铜陵市,铜官区,铜陵县五松镇人民大道61号网点,117.791185,30.951258,简餐|,否,蜂鸟专送,15005626556,"[""10:00/21:00""]",48,"1 ： 满20减3，满35减4;2 ： 新用户下单立减10元;",10,配送费5,否,4.8888888888889,4.8888888888889,4.3333333333333,4.4444444444444,4.2222222222222,0,4.4444444444444,4.3333333333333,12,12,0,1
铜陵优选商家（雅戈尔鸡腿）,安徽省,铜陵市,铜官区,铜陵市大洋百货负一楼,117.815454,30.944879,汉堡|炸鸡炸串|,否,蜂鸟专送,15656270598,"[""08:00/24:00""]",1,"1 ： 单品折扣;2 ： 单品定价;3 ： 单品定价;4 ： 单品定价;5 ： 单品定价;6 ： 单品定价;7 ： 单品定价;8 ： 单品定价;9 ： 单品定价;10 ： 单品定价;11 ： 单品定价;12 ： 单品定价;13 ： 满10元赠送送餐入门1份;",,配送费40,否,5,5,5,5,5,0,5,5,1,1,0,0
玛丽莲甜品,安徽省,铜陵市,铜官区,铜陵市北斗星城一地块A7一层16/17号商铺,117.814038,30.95247,奶茶果汁|甜品|,否,蜂鸟专送,13866502106,"[""09:30/21:00""]",1,"1 ： 满100减1;2 ： 新用户下单立减10元;",10,配送费40,否,0,0,0,0,0,0,0,0,0,0,0,0
余辉牛肉汤馆,安徽省,铜陵市,铜官区,安徽省铜陵市五松西村18栋2号网点,117.802652,30.93632,米粉面馆|,否,蜂鸟专送,18956291859,"[""07:00/13:00""]",28,"1 ： 满20减2，满30减4，满40减5，满50减6;2 ： 新用户下单立减10元;",15,配送费4,否,4.5,4.5,5,4.5,5,20,4.5,5,2,2,0,0
大先生花甲海鲜焖面(万达店),安徽省,铜陵市,铜官区,铜官区万达广场三层3079号,117.830508,30.943297,海鲜|米粉面馆|,否,蜂鸟专送,18156288220,"[""10:00/21:10""]",5,"1 ： 满40减6;2 ： 新用户下单立减10元;",15,远距离配送费4,否,0,0,0,0,0,0,0,0,0,0,0,0
韩中轩,安徽省,铜陵市,铜官区,安徽省铜陵市淮河南路426号,117.800752,30.917204,香锅砂锅|简餐|,否,蜂鸟专送,05625858776,"[""10:50/19:10""]",1,"1 ： 满100减1;2 ： 新用户下单立减10元;",10,配送费30,否,0,0,0,0,0,0,0,0,0,0,0,0
大通冰室(中航长江广场店),安徽省,铜陵市,铜官区,铜陵市中航长江广场6号楼14号商铺,117.816788,30.924684,甜品|奶茶果汁|,是,蜂鸟专送,18456257980,"[""09:30/22:00""]",41,"1 ： 单品定价;2 ： 单品定价;3 ： 单品定价;4 ： 单品定价;5 ： 单品定价;",10,配送费4,否,4.8260869565217,4.8260869565217,3,3.0869565217391,3.1739130434783,20,3.0869565217391,3,23,22,0,3
青青果园,安徽省,铜陵市,铜官区,铜陵市铜官区友好家园B楼18号网点,117.824874,30.918271,水果|,否,蜂鸟专送,18005622967,"[""08:00/21:00""]",1,"1 ： 满20减5，满30减7;2 ： 新用户下单立减10元;",10,配送费4,否,0,0,0,0,0,0,0,0,0,0,0,0
肯德基宅急送（良发店）,安徽省,铜陵市,铜官区,安徽省铜陵市长江中路南侧良发大厦一层,117.814944,30.927981,汉堡|炸鸡炸串|,是,no,4009208801,"[""07:00/22:55""]",113,"1 ： 超值换购;2 ： 45烤堡单人4件套;3 ： 双拼十翅啤酒桶83折;4 ： 辣堡辣翅啤酒单人餐95折;5 ： 辣堡辣翅啤酒单人餐95折;6 ： 85小食振威干杯桶;7 ： 49热辣助威单人餐;8 ： 85小食振威干杯桶;9 ： 49热辣助威单人餐;",,配送费9,否,4.8285714285714,4.8285714285714,4.1428571428571,4.1571428571429,4.0142857142857,40,4.1571428571429,4.1428571428571,72,69,0,5
小朱淮南牛肉汤灌汤包,安徽省,铜陵市,铜官区,铜官区红旗新村14栋3号网点,117.822134,30.92061,米粉面馆|包子粥店|,否,蜂鸟专送,13013154089,"[""07:00/19:00""]",2,"1 ： 满40减6;2 ： 单品折扣;3 ： 新用户下单立减10元;4 ： 单品折扣;",10,配送费1,否,0,0,0,0,0,0,0,0,0,0,0,0
枞阳乡下菜馆,安徽省,铜陵市,铜官区,铜官山区观山名筑6号楼9-A号网点,117.824378,30.918739,盖浇饭|简餐|,否,蜂鸟专送,0562-2606077,"[""10:00/22:00""]",1,"1 ： 满40减6;2 ： 新用户下单立减10元;",15,配送费4,否,0,0,0,0,0,0,0,0,0,0,0,0
肯德基宅急送现磨咖啡馆（良发店）,安徽省,铜陵市,铜官区,安徽省铜陵市长江中路南侧良发大厦一层,117.815023,30.927979,炸鸡炸串|咖啡|,否,no,4009208801,"[""10:00/22:00""]",4,"1 ： 62气泡冰咖啡双人套餐;",,配送费9,否,0,0,0,0,0,40,0,0,0,0,0,0
果饮,安徽省,铜陵市,铜官区,铜陵市人民东村网点16号,117.804631,30.918789,奶茶果汁|,否,no,18555220802,"[""10:00/22:00""]",,"1 ： 满40减6;2 ： 新用户下单立减10元;",20,配送费4,否,0,0,0,0,0,0,0,0,0,0,0,0
馨赏家鲜花（柔怡花之釆店）,安徽省,铜陵市,铜官区,铜陵市合百商厦后院停车场内,117.824055,30.932282,鲜花|绿植|,否,no,15305625589,"[""07:30/22:00""]",1,"1 ： 满100减50，满300减60，满400减80;2 ： 单品折扣;3 ： 单品折扣;4 ： 单品折扣;5 ： 单品折扣;6 ： 单品折扣;7 ： 单品折扣;8 ： 单品折扣;9 ： 单品折扣;10 ： 单品折扣;11 ： 单品折扣;12 ： 单品折扣;13 ： 单品折扣;14 ： 单品折扣;15 ： 单品折扣;16 ： 单品折扣;",,免配送费,否,5,5,0,0,-1,0,0,0,1,1,0,0
百姓缘(铜陵长江西路店),安徽省,铜陵市,铜官区,安徽省铜陵市长江西路2931号长淮新村1栋2号网点,117.81019459771,30.930998928306,药店|,否,蜂鸟专送,0562-2828785,"[""08:00/20:30""]",45,"1 ： 满28减6，满49减20，满99减35，满199减50;2 ： 健康滋补节;3 ： 健康滋补节;4 ： 健康滋补节;5 ： 健康滋补节;",20,远距离配送费3.68,否,5,5,4.9285714285714,4.9285714285714,5,26,4.9285714285714,4.9285714285714,14,14,0,3
小菜园（淮河路店）,安徽省,铜陵市,铜官区,安徽省铜陵市铜官山区淮河路55号一层二层夹层,117.813446,30.933586,川湘菜|,否,蜂鸟专送,2601177,"[""10:50/13:20"",""16:30/20:20""]",274,"1 ： 新用户下单立减10元;",16,配送费4,否,4.55,4.55,4.29375,4.325,4.48125,37,4.325,4.29375,173,156,6,17
老乡鸡(铜陵淮河大道嘉禾广场店),安徽省,铜陵市,铜官区,安徽省铜陵市金山中路1650号嘉禾广场一楼商铺,117.802185,30.920497,简餐|地方小吃|,是,no,0562-7110687,"[""00:00/24:00""]",419,"1 ： 新用户下单立减25元;",,配送费10,否,4.7142857142857,4.7142857142857,4.3759398496241,4.4812030075188,4.4285714285714,35,4.4812030075188,4.3759398496241,138,129,2,15
